id,artist,youtube_url,channel_id,created_at,updated_at,uploads_playlist_id,last_sync_at,sync_priority
0034f261-9ff0-4b8a-a608-36d6e4156bdc,Hailey Benedict,https://www.youtube.com/@haileybenedict,UChHIWXnYoBTiRunhtAiAOSw,2025-08-06 19:37:16.354+00,2025-08-06 19:37:16.354+00,,2025-08-08 00:45:15.361086+00,0
01b5fca7-f3b7-416f-8e2a-e98e415d9c16,Maddye Trew,https://www.youtube.com/@maddyetrew,UCNfClPHY-5L7d-mXMWRZdqg,2025-08-08 11:50:30.493+00,2025-08-08 11:50:30.493+00,,2025-08-08 01:28:34.560652+00,0
02ee96e5-b143-4fe3-add7-820961454e10,carter faith,https://www.youtube.com/@carterfaith,UC-e2zmy7uUp8Ng6hq-fgCvQ,2025-08-06 19:34:35.499+00,2025-08-06 19:34:35.499+00,,2025-08-08 01:06:02.863972+00,0
03dd8e27-8322-4f09-95a2-2442e3d2c5f0,Devon Beck,https://www.youtube.com/@devonbeck,UCJaT_pWUuahaUyZGeMSdo1g,2025-08-06 19:36:58.179+00,2025-08-06 19:36:58.179+00,,2025-08-07 23:27:25.731309+00,0
044ae889-dd38-444b-9ae8-fa0b7848da6e,The Jack Wharff Band,https://www.youtube.com/@thejackwharffband,UCBe5uTLcfsbQsNrHcgqtvDQ,2025-08-08 11:38:50.202+00,2025-08-08 11:38:50.202+00,,2025-08-07 22:57:43.104151+00,0
04d6bbfb-7edd-448f-a145-ee73eac52821,Grayson Torrence,https://www.youtube.com/@graysontorrence,UC11pbPoC7tEMClBcdTRQviA,2025-08-06 19:37:14.62+00,2025-08-06 19:37:14.62+00,,2025-08-08 00:05:17.387819+00,0
06029b4e-343e-4d88-afab-3046fc519e18,James Maslow,https://www.youtube.com/@jamesmaslow,UC7rGoO1og89LRs2-eRFw2WQ,2025-08-08 11:38:54.974+00,2025-08-08 11:38:54.974+00,,2025-08-08 00:32:38.935227+00,0
06550791-aa6b-4fb2-a353-879399638add,Greylan James,https://www.youtube.com/@greylanjames,UCI0kPlZhc6ZrT0BDotQSJNA,2025-08-06 19:37:15.468+00,2025-08-06 19:37:15.468+00,,2025-08-08 00:14:20.008919+00,0
06a3a53e-f210-4220-b2f6-7f09296e5e14,Rachel Thibodeau,https://www.youtube.com/@rachelthibodeau,UChjLgZ87ipQ_y8g7dQs-6dQ,2025-08-08 11:51:00.043+00,2025-08-08 11:51:00.043+00,,2025-08-07 20:38:54.558555+00,0
073e85f5-87d3-49cd-b7b5-de0c7d74dd07,jakehoot,https://www.youtube.com/@JakeHoot,UCs1vV9241wHj2t6X0eEH4hg,2025-08-08 11:38:52.557+00,2025-08-08 11:38:52.557+00,,2025-08-08 01:26:50.028401+00,0
075d8557-816c-4025-bbb4-2b87be6c3761,Carrie Underwood,https://www.youtube.com/@CarrieUnderwoodOfficial,UCqOTBKHKKslC6bGX7g0yNYg,2025-08-06 19:06:15.424752+00,2025-08-06 19:06:15.424752+00,,2025-08-08 00:09:57.781454+00,0
077e2a86-76ab-4c11-82d8-9116700c0b94,Whiskey Jam,https://www.youtube.com/@whiskeyjam,UCpbxJ8ChIlC6dBQR2IXjpPQ,2025-08-09 13:36:09.075+00,2025-08-09 13:36:09.075+00,,2025-08-08 13:36:09.28627+00,0
